"","date","sentido_ABEV3","lag_fechamento_ABEV3","lag_abertura_ABEV3","lag_volume_ABEV3","lag_retorno_ABEV3","lag_value_ABEV3","lag_diff"
"1",2012-01-04,"-1",13.02269316,13.19703937,10.4499312539039,-0.01146250302,58,-0.174346210000001
"2",2012-01-05,"-1",12.72000878,12.98394956,9.67495450393748,-0.02351721585,45,-0.263940779999999
"3",2012-01-06,"-1",12.46817536,12.55534847,9.73996812270477,-0.01999682092,55,-0.0871731100000002
"4",2012-01-09,"-1",12.43669619,12.46575389,8.87024156729927,-0.002527954718,49,-0.029057700000001
"5",2012-01-10,"-1",12.41248144,12.43669619,8.6195692580331,-0.001948938434,42,-0.0242147499999987
"6",2012-01-11,"0",12.34952308,12.45848946,9.63390731544833,-0.005085088214,55,-0.108966379999998
"7",2012-01-12,"1",12.34952308,12.34952308,9.54695545553714,0,57,0
"8",2012-01-13,"1",12.40521701,12.35194456,9.97492410247398,0.004499665257,54,0.0532724499999997
"9",2012-01-16,"1",12.42216734,12.36889488,9.15514473650823,0.001365454161,52,0.0532724600000005
"10",2012-01-17,"1",12.56987732,12.45122504,9.44801779306743,0.01182069767,65,0.118652279999999
"11",2012-01-18,"1",12.65220747,12.59167059,10.1940654280999,0.006528441015,50,0.0605368800000008
"12",2012-01-19,"-1",12.7853886,12.65220747,10.2489549256266,0.01047129992,54,0.133181129999999
"13",2012-01-20,"1",12.72485173,12.7853886,9.98068004836603,-0.004746093401,45,-0.06053687
"14",2012-01-23,"-1",12.76117385,12.83381811,9.54036328491749,0.002850358169,41,-0.0726442599999988
"15",2012-01-24,"1",12.58924912,12.76117385,9.83974871156912,-0.01356406314,61,-0.171924730000001
"16",2012-01-26,"-1",12.7563309,12.44638209,8.44762872803033,0.01318448449,56,0.30994881
"17",2012-01-27,"-1",12.71274435,12.71516582,9.39374467572138,-0.003422707273,48,-0.00242146999999981
"18",2012-01-30,"1",12.53113372,12.71274435,9.49077121771377,-0.01438873741,57,-0.18161063
"19",2012-01-31,"-1",12.54081962,12.34952308,8.73985662749357,0.0007726482539,57,0.19129654
"20",2012-02-01,"1",12.52154991,12.47098211,9.73761004815811,-0.001537740777,51,0.0505677999999996
