"","date","ativo","retorno","fechamento","abertura","volume","value","lag_fechamento","lag_volume","lag_value","lag_abertura","lag_retorno","lag_diff"
"6824",2015-08-24,"ITSA4",-0.02087758501,5.252004237,5.119042104,12.3724807523638,61,5.362806014,12.1949308051113,61,5.333258873,-0.008230499144,0.0295471410000001
"6825",2015-08-25,"ITSA4",0.001405481601,5.259391022,5.458834221,12.3302441204734,60,5.252004237,12.3724807523638,61,5.119042104,-0.02087758501,0.132962133
"6826",2015-08-26,"ITSA4",0.05731445659,5.569635998,5.318485303,12.6104037775971,57,5.259391022,12.3302441204734,60,5.458834221,0.001405481601,-0.199443199
"6827",2015-08-27,"ITSA4",0.03004798236,5.739532056,5.643503849,12.7576994636001,55,5.569635998,12.6104037775971,57,5.318485303,0.05731445659,0.251150695
"6828",2015-08-28,"ITSA4",-0.03270402642,5.554862428,5.636117064,12.2178776909799,64,5.739532056,12.7576994636001,55,5.643503849,0.03004798236,0.0960282069999998
"6829",2015-08-31,"ITSA4",-0.03463285928,5.36577488,5.446851148,12.5219813225625,70,5.554862428,12.2178776909799,64,5.636117064,-0.03270402642,-0.0812546359999997
"6830",2015-09-01,"ITSA4",-0.007599345721,5.325153046,5.214366228,12.2847544275644,67,5.36577488,12.5219813225625,70,5.446851148,-0.03463285928,-0.0810762680000003
"6831",2015-09-02,"ITSA4",0.006910877541,5.362081986,5.369467773,11.8076973452339,61,5.325153046,12.2847544275644,67,5.214366228,-0.007599345721,0.110786817999999
"6832",2015-09-03,"ITSA4",0.02985296315,5.524569319,5.413782501,12.1778634821163,60,5.362081986,11.8076973452339,61,5.369467773,0.006910877541,-0.00738578700000048
"6833",2015-09-04,"ITSA4",-0.02435844384,5.391625137,5.443325652,11.9758793027284,79,5.524569319,12.1778634821163,60,5.413782501,0.02985296315,0.110786818
"6834",2015-09-08,"ITSA4",0.005464494466,5.421168288,5.539340894,11.495168743381,75,5.391625137,11.9758793027284,79,5.443325652,-0.02435844384,-0.0517005150000003
"6835",2015-09-09,"ITSA4",0.01084021456,5.480254591,5.502411955,12.1598402075885,70,5.421168288,11.495168743381,75,5.539340894,0.005464494466,-0.118172606000001
"6836",2015-09-10,"ITSA4",-0.03009803116,5.317767258,5.280838319,12.5434551819885,67,5.480254591,12.1598402075885,70,5.502411955,0.01084021456,-0.0221573640000008
"6837",2015-09-11,"ITSA4",0.02739897419,5.465483016,5.317767258,12.8038453942217,63,5.317767258,12.5434551819885,67,5.280838319,-0.03009803116,0.036928939
"6838",2015-09-14,"ITSA4",0.04750233398,5.731371379,5.509797743,12.6218576531563,64,5.465483016,12.8038453942217,63,5.317767258,0.02739897419,0.147715758
"6839",2015-09-15,"ITSA4",-0.006464146621,5.694442439,5.687056651,13.0295219477271,65,5.731371379,12.6218576531563,64,5.509797743,0.04750233398,0.221573636
"6840",2015-09-16,"ITSA4",0.02053987486,5.812615045,5.746142954,12.8319362072839,61,5.694442439,13.0295219477271,65,5.687056651,-0.006464146621,0.00738578800000056
"6841",2015-09-17,"ITSA4",0.002538072425,5.827386621,5.775686106,12.5367423657814,59,5.812615045,12.8319362072839,61,5.746142954,0.02053987486,0.0664720910000005
"6842",2015-09-18,"ITSA4",-0.0440485716,5.576269834,5.768300318,12.1990681713773,61,5.827386621,12.5367423657814,59,5.775686106,0.002538072425,0.0517005149999994
"6843",2015-09-21,"ITSA4",-0.02548763052,5.435939864,5.55411247,12.0401597276702,65,5.576269834,12.1990681713773,61,5.768300318,-0.0440485716,-0.192030484
"6844",2015-09-22,"ITSA4",0.01215409965,5.502411955,5.384239349,12.1451010885387,60,5.435939864,12.0401597276702,65,5.55411247,-0.02548763052,-0.118172606
"6845",2015-09-23,"ITSA4",-0.03413300637,5.317767258,5.458097228,12.3171398470378,56,5.502411955,12.1451010885387,60,5.384239349,0.01215409965,0.118172606000001
"6846",2015-09-24,"ITSA4",-0.006968669317,5.280838319,5.273452531,12.6204248131482,56,5.317767258,12.3171398470378,56,5.458097228,-0.03413300637,-0.14032997
"6847",2015-09-25,"ITSA4",-0.02120220765,5.170051501,5.384239349,12.4604241239686,59,5.280838319,12.6204248131482,56,5.273452531,-0.006968669317,0.00738578799999967
"6848",2015-09-28,"ITSA4",0.002853068998,5.184823077,5.147894138,12.1382647859249,66,5.170051501,12.4604241239686,59,5.384239349,-0.02120220765,-0.214187848
"6849",2015-09-29,"ITSA4",0,5.184823077,5.192208865,11.8635471246959,66,5.184823077,12.1382647859249,66,5.147894138,0.002853068998,0.036928939
"6850",2015-09-30,"ITSA4",0.01156408585,5.245128835,5.289205548,12.2763819834282,74,5.184823077,11.8635471246959,66,5.192208865,0,-0.00738578799999967
"6851",2015-10-01,"ITSA4",0.01114217657,5.303897785,5.259821072,11.8469590161281,71,5.245128835,12.2763819834282,74,5.289205548,0.01156408585,-0.0440767129999999
"6852",2015-10-02,"ITSA4",0.02732410427,5.450820162,5.296551666,12.2165624348099,71,5.303897785,11.8469590161281,71,5.259821072,0.01114217657,0.0440767129999999
