"","date","ativo","retorno","fechamento","abertura","volume","value","sentido"
"55",2018-03-22,"ABEV3",0.005010448916,24.6345102,24.61398999,12.4797724196614,77,"1"
"56",2018-03-23,"ABEV3",-0.003755481156,24.54216926,24.39852781,12.3160967696414,68,"-1"
"57",2018-03-26,"ABEV3",0.003338901279,24.6242501,24.77815166,12.3684040574476,75,"1"
"58",2018-03-27,"ABEV3",-0.006688988179,24.46008843,24.58320968,12.499335367152,74,"-1"
"59",2018-03-28,"ABEV3",-0.000839278253,24.43956822,24.29592676,12.3217913296562,81,"-1"
"60",2018-03-29,"ABEV3",0.009541092574,24.67386435,24.41759239,12.6618188692791,57,"1"
"61",2018-04-02,"ABEV3",-0.009182034454,24.44834502,24.67386435,11.8494262726119,78,"-1"
"62",2018-04-03,"ABEV3",0.01456841581,24.80712577,24.49959942,12.4091400121348,96,"1"
"63",2018-04-04,"ABEV3",-0.0004133085239,24.79687489,24.48934854,12.6860575457445,89,"-1"
"64",2018-04-05,"ABEV3",-0.006636274887,24.63286083,25.00189246,12.6343261152688,69,"-1"
"65",2018-04-06,"ABEV3",-0.0329979177,23.83329232,24.11006604,13.2948281822998,66,"-1"
"66",2018-04-09,"ABEV3",0.001718951835,23.87429583,23.63852563,12.9138177559457,76,"1"
"67",2018-04-10,"ABEV3",0.02166149677,24.39709063,24.00755725,12.8593869255884,85,"1"
"68",2018-04-11,"ABEV3",0.002098636695,24.44834502,24.20232394,12.5743238255443,99,"1"
"69",2018-04-12,"ABEV3",-0.02376013347,23.87429583,24.56110469,12.6451691577163,82,"-1"
"70",2018-04-13,"ABEV3",-0.001288936795,23.8435432,23.86404495,12.6865895659491,73,"-1"
"71",2018-04-16,"ABEV3",-0.01211087468,23.5565186,23.8435432,13.1623165145773,90,"-1"
"72",2018-04-17,"ABEV3",0.005641151891,23.68978002,23.59752211,12.5544063982558,87,"1"
"73",2018-04-18,"ABEV3",0.01033155983,23.9358011,23.81279056,13.162470236276,88,"1"
"74",2018-04-19,"ABEV3",0.006403437025,24.08956428,23.80253968,12.8742763070254,84,"1"
"75",2018-04-20,"ABEV3",-0.002983168634,24.01780813,24.03830989,12.2472097903853,57,"-1"
"76",2018-04-23,"ABEV3",0.0008532423796,24.03830989,23.89479759,12.2051021747757,90,"1"
"77",2018-04-24,"ABEV3",-0.005988041852,23.89479759,24.11006604,12.5918145231901,93,"-1"
"78",2018-04-25,"ABEV3",-0.006024114611,23.75128529,23.80253968,12.3330840793418,91,"-1"
"79",2018-04-26,"ABEV3",0.006024114611,23.89479759,23.74103441,12.5955133797451,73,"1"
"80",2018-04-27,"ABEV3",-0.005592615119,23.76153617,24.09981516,12.2609490130375,72,"-1"
"81",2018-04-30,"ABEV3",0.004252664677,23.86280119,23.76051743,11.9139272941177,50,"1"
"82",2018-05-02,"ABEV3",-0.0286976215,23.18772837,23.69914717,13.0521061355093,77,"-1"
"83",2018-05-03,"ABEV3",-0.003092558244,23.11612974,23.05475948,12.5266731615652,71,"-1"
"84",2018-05-04,"ABEV3",-0.004434597072,23.01384598,22.98316085,13.2235905626089,70,"-1"
"85",2018-05-07,"ABEV3",-0.007136515576,22.85019196,23.14681487,12.625946776599,63,"-1"
"86",2018-05-08,"ABEV3",0.004466287018,22.95247572,22.75813658,13.2162853213277,67,"1"
"87",2018-05-09,"ABEV3",-0.02390192707,22.41037179,22.86042034,13.5181996096538,73,"-1"
"88",2018-05-10,"ABEV3",-0.005033183817,22.29785966,22.54334068,13.3480875959306,67,"-1"
"89",2018-05-11,"ABEV3",0.002290951749,22.34900154,22.29785966,12.2584183859021,66,"1"
"90",2018-05-14,"ABEV3",-0.006427937658,22.20580427,22.35922991,12.6126904223937,61,"-1"
"91",2018-05-15,"ABEV3",-0.01158224665,21.95009488,22.00123676,12.6429395167779,71,"-1"
"92",2018-05-16,"ABEV3",0.002327206079,22.00123676,21.87849624,12.7555572862661,65,"1"
"93",2018-05-17,"ABEV3",-0.01971894881,21.57164496,21.92963812,13.1695789692518,75,"-1"
"94",2018-05-18,"ABEV3",-0.02205266738,21.10113967,21.28525044,14.1459402896533,59,"-1"
"95",2018-05-21,"ABEV3",-0.01612544105,20.76360326,21.06022616,13.2762254441583,59,"-1"
"96",2018-05-22,"ABEV3",-0.007416597662,20.61017762,20.9170289,13.2435751947313,56,"-1"
"97",2018-05-23,"ABEV3",-0.004975134645,20.50789386,20.51812224,12.9497608375838,62,"-1"
"98",2018-05-24,"ABEV3",0.0138684739,20.79428839,20.37492497,13.0250459844949,76,"1"
"99",2018-05-25,"ABEV3",-0.008397184445,20.620406,20.74314651,13.1221093451409,59,"-1"
"100",2018-05-28,"ABEV3",-0.0200407509,20.21127096,20.32378309,12.4368827337054,52,"-1"
"101",2018-05-29,"ABEV3",-0.008640460322,20.03738857,20.25218446,12.9922250788626,76,"-1"
"102",2018-05-30,"ABEV3",0.001099639597,20.05943459,19.92699546,13.4167091976884,60,"1"
"103",2018-06-01,"ABEV3",0.01261687187,20.31412523,19.96774596,12.6249704628124,67,"1"
"104",2018-06-04,"ABEV3",0.005002511688,20.41600148,20.52806536,12.4332002499547,58,"1"
"105",2018-06-05,"ABEV3",-0.01407058386,20.13074797,20.39562623,12.8937850846001,60,"-1"
"106",2018-06-06,"ABEV3",-0.01170794747,19.89643258,20.08999747,12.7643561177556,72,"-1"
"107",2018-06-07,"ABEV3",-0.02331107887,19.43798944,19.55005332,13.3833482293813,58,"-1"
"108",2018-06-08,"ABEV3",-0.006309169199,19.31573793,19.46855231,12.8406739796223,64,"-1"
"109",2018-06-11,"ABEV3",0.001581028025,19.34630081,19.27498743,12.5837896444356,63,"1"
"110",2018-06-12,"ABEV3",-0.005809364138,19.23423693,19.29536268,12.6157422357362,65,"-1"
"111",2018-06-13,"ABEV3",-0.009045020414,19.06104729,19.25461218,12.6554334195871,56,"-1"
"112",2018-06-14,"ABEV3",0.01168982495,19.28517505,19.12217305,12.9380245873628,59,"1"
"113",2018-06-15,"ABEV3",-0.01115549416,19.07123492,19.25461218,13.3861235901594,51,"-1"
"114",2018-06-18,"ABEV3",-0.001078167236,19.05068402,18.80407322,12.8588430449477,44,"-1"
"115",2018-06-19,"ABEV3",0.0139263097,19.31784571,19.04040857,12.8141247935571,58,"1"
"116",2018-06-20,"ABEV3",-0.0139263097,19.05068402,19.44115111,12.8488340145523,61,"-1"
"117",2018-06-21,"ABEV3",-0.02236253538,18.62939057,19.00958222,12.39932177829,50,"-1"
"118",2018-06-22,"ABEV3",0.001653348431,18.66021692,18.75269597,12.2236079986192,44,"1"
"119",2018-06-25,"ABEV3",0.003298518654,18.72186962,18.70131872,12.2215817551309,60,"1"
"120",2018-06-26,"ABEV3",-0.007160592423,18.58828878,18.77324687,12.8393450792971,70,"-1"
"121",2018-06-27,"ABEV3",-0.00776918448,18.44443248,18.43415703,12.290505701505,54,"-1"
"122",2018-06-28,"ABEV3",0.003337044249,18.50608518,18.42388158,12.1893536589233,49,"1"
"123",2018-06-29,"ABEV3",-0.0141884109,18.2453672,18.35699069,12.4199292059326,54,"-1"
"124",2018-07-02,"ABEV3",0.008859415625,18.40772864,18.19462925,11.8213435525057,31,"1"
"125",2018-07-03,"ABEV3",-0.002760145277,18.35699069,18.40772864,12.2336489013003,44,"-1"
"126",2018-07-04,"ABEV3",0.0005526388532,18.36713828,18.37728587,11.8949786400677,48,"1"
"127",2018-07-05,"ABEV3",0.01643872633,18.67156598,18.41787623,12.2941018377035,38,"1"
"128",2018-07-06,"ABEV3",-0.01699136518,18.35699069,18.67156598,12.7975026653471,39,"-1"
"129",2018-07-10,"ABEV3",0.005512693118,18.45846659,18.40772864,12.3693218083427,51,"1"
"130",2018-07-11,"ABEV3",-0.01551277647,18.17433406,18.46861418,12.4298120193069,56,"-1"
"131",2018-07-12,"ABEV3",0.01825776858,18.50920454,18.17433406,12.7843335283344,56,"1"
"132",2018-07-13,"ABEV3",0.01090523347,18.71215635,18.51935213,12.3204320494642,48,"1"
"133",2018-07-16,"ABEV3",0.02728171342,19.22968345,18.80348466,12.7782266434208,47,"1"
"134",2018-07-17,"ABEV3",0.01154262555,19.45293043,19.23983104,12.5447887912746,56,"1"
"135",2018-07-18,"ABEV3",-0.0216196135,19.03687923,19.39204489,12.3488777787862,63,"-1"
"136",2018-07-19,"ABEV3",0.006376217113,19.15865031,18.88466538,12.1975917844772,55,"1"
"137",2018-07-20,"ABEV3",-0.004778347246,19.067322,19.4833732,12.5404605686212,53,"-1"
"138",2018-07-23,"ABEV3",-0.007478667339,18.92525574,19.067322,11.6727116639589,55,"-1"
"139",2018-07-24,"ABEV3",0.01701263782,19.24997863,19.02673164,12.4791980316446,64,"1"
"140",2018-07-25,"ABEV3",-0.003696861857,19.1789455,19.24997863,12.5767357967195,63,"-1"
"141",2018-07-26,"ABEV3",0.05105517082,20.18355693,19.94001476,13.4226797992691,70,"1"
"142",2018-07-27,"ABEV3",-0.004030232172,20.1023762,20.24444247,12.7697686693985,67,"-1"
"143",2018-07-30,"ABEV3",-0.005568224952,19.99075271,19.95016235,12.4660841444141,52,"-1"
"144",2018-07-31,"ABEV3",-0.01812480559,19.63168802,19.92500021,12.4794301089084,64,"-1"
"145",2018-08-01,"ABEV3",0.002058672923,19.67214488,19.67214488,12.134512194917,65,"1"
"146",2018-08-02,"ABEV3",-0.008260243153,19.51031747,19.52043168,12.0543598250409,65,"-1"
"147",2018-08-03,"ABEV3",0.0005182689776,19.52043168,19.60134538,12.5177104737942,51,"1"
"148",2018-08-06,"ABEV3",0,19.52043168,19.57100275,11.738138872653,64,"0"
"149",2018-08-07,"ABEV3",-0.006758538855,19.38894691,19.52043168,12.5275545144808,70,"-1"
"150",2018-08-08,"ABEV3",-0.0005217844991,19.37883269,19.33837584,12.9424086175355,63,"-1"
"151",2018-08-09,"ABEV3",0.005724709865,19.49008904,19.33837584,12.5572610659871,59,"1"
"152",2018-08-10,"ABEV3",-0.01885859976,19.12597736,19.37883269,12.8207987195771,48,"-1"
"153",2018-08-13,"ABEV3",0.01208950335,19.35860427,19.04506365,12.2155129453495,50,"1"
"154",2018-08-14,"ABEV3",0.01400801114,19.63168802,19.49008904,12.8941896961722,58,"1"
"155",2018-08-15,"ABEV3",0.0005150657177,19.64180224,19.41928955,12.7913895965314,49,"1"
"156",2018-08-16,"ABEV3",-0.02133830639,19.22711949,19.56088853,12.2487585019801,56,"-1"
