"","date","lag_retorno_ABEV3","lag_retorno_B3SA3","lag_retorno_BBDC4","lag_retorno_BBAS3","lag_retorno_ITSA4","lag_retorno_ITUB4","lag_retorno_PETR3","lag_retorno_PETR4","lag_retorno_VALE3","retorno_IBOV","lag_fechamento_ABEV3","lag_fechamento_B3SA3","lag_fechamento_BBDC4","lag_fechamento_BBAS3","lag_fechamento_ITSA4","lag_fechamento_ITUB4","lag_fechamento_PETR3","lag_fechamento_PETR4","lag_fechamento_VALE3","lag_fechamento_IBOV","lag_abertura_ABEV3","lag_abertura_B3SA3","lag_abertura_BBDC4","lag_abertura_BBAS3","lag_abertura_ITSA4","lag_abertura_ITUB4","lag_abertura_PETR3","lag_abertura_PETR4","lag_abertura_VALE3","lag_abertura_IBOV","lag_volume_ABEV3","lag_volume_B3SA3","lag_volume_BBDC4","lag_volume_BBAS3","lag_volume_ITSA4","lag_volume_ITUB4","lag_volume_PETR3","lag_volume_PETR4","lag_volume_VALE3","lag_volume_IBOV","lag_value_ABEV3","lag_value_B3SA3","lag_value_BBDC4","lag_value_BBAS3","lag_value_ITSA4","lag_value_ITUB4","lag_value_PETR3","lag_value_PETR4","lag_value_VALE3","lag_value_IBOV"
"1",2018-01-02,-0.01001360624,0.000450144826,0.01049087828,-0.01096828941,-0.003465706922,-0.001803633539,0.00451971916,-0.001279926296,0.005594756734,-6.778650826e-05,21.89683487,23.1702211,26.11280125,31.58912188,9.027238563,26.822484,17.60614554,16.21150176,41.11428126,81184.08244,22.02031326,23.0685081,25.89680171,31.9663647,9.035581667,26.77838879,17.44997039,16.21150176,40.85897648,80838.71946,12.3196691521127,11.8150724148325,12.3184365799003,12.2462352226826,12.0370917056733,13.0846781248279,11.3561546890203,12.6914081387729,12.9599009169004,15.8004282106321,56,0,42,64,64,42,53,58,88,22
"2",2018-01-03,0.01908366035,0.005690538435,0.0219146827,0.03428907347,0.01922255984,0.03042631604,0.02453394085,0.02756682984,0.03562220993,0.01930100608,22.31871937,23.30244799,26.69137144,32.69106799,9.202443747,27.65113586,18.04343597,16.66461827,42.60526116,82766.23638,21.9482842,23.28210539,26.26708663,31.85716283,9.068954083,26.97057007,17.68943896,16.30212507,41.2981007,81184.63499,12.5845501762964,12.3716718261797,12.640128449876,12.6733036846978,11.9125736877568,13.1498151069576,11.3159977557869,13.2777042058665,13.3391974658543,15.8902719146442,45,20,25,41,51,50,9,9,89,21
"3",2018-01-04,0.002302556852,0.01687986412,0.004586634094,0.01267367597,0.0117171237,0.006813562589,0.01261484615,0.009022617582,-0.006010355878,0.001335846468,22.3701687,23.69912869,26.81407618,33.10802058,9.3109041,27.84018191,18.27249286,16.81565711,42.34995638,82876.87324,22.18495112,23.1397072,26.67514314,32.85983452,9.160728227,27.66373893,17.94973088,16.60420274,42.71759526,82764.50436,12.2903126859115,11.952089659815,12.2206360820072,12.5716632267955,11.8818648917289,13.4519778676282,12.1077042942828,13.8010728338051,13.2413492449239,15.9561161053786,60,0,31,57,52,34,20,17,87,21
"4",2018-01-05,-0.005535069477,0.006417134321,0.0162744491,0.009549460798,0.0186423508,0.02061004852,0.008510689687,0.00179479562,0.004090969483,0.008328051931,22.24669031,23.85169819,27.25403079,33.42569874,9.486109284,28.41992314,18.42866801,16.84586488,42.52356363,83569.95817,22.3701687,23.77032779,26.85266869,33.2767871,9.335933412,27.88429266,18.39743298,16.89621115,42.69717088,82879.5616,12.2536811594449,11.8486688646257,12.7881877016673,12.7519632439328,11.9550888768611,13.5120161264963,11.7643921038887,13.4018403801483,13.6188981719685,16.0520258246379,57,0,35,54,50,62,14,13,88,24
"5",2018-01-08,0.003693448332,0.0143948294,0.00564813704,0,0.0017574697,0.002878336987,0.007878487582,0.005959493172,0.01548940774,0.005377301629,22.32900924,24.19752238,27.40840084,33.42569874,9.502795493,28.50184309,18.57443149,16.94655743,43.18735605,84020.54943,22.24669031,23.80084169,27.18456428,33.45548106,9.486109284,28.43252621,18.41825634,16.81565711,42.45207829,83566.61101,12.487496425659,12.1205419899132,12.418717275543,12.1450054257817,11.6844725180405,13.1263733268,11.3834316247358,13.0821641056187,13.4282084984834,15.8849598429121,54,0,45,53,57,52,16,12,88,24
"6",2018-01-09,-0.001845018972,0.004613134642,-0.0002816504712,0.002373184157,-0.0008783487575,-0.00332189432,0.01557317343,0.01181348647,0.0219840472,0.003875927609,22.28784978,24.30940668,27.40068233,33.50511828,9.494452389,28.40732007,18.86595844,17.14794255,44.14730201,84346.83893,22.32900924,24.15683718,27.37752683,33.39591641,9.452736868,28.394717,18.36619795,16.85593413,43.29969015,84019.27433,11.9968443267251,12.0768690174656,12.4028147249854,12.1191249028795,11.7006822242541,12.9134431927264,11.4187905942196,13.1434494944006,13.4057391912192,15.8007272681362,61,0,37,38,60,41,13,10,86,22
"7",2018-01-10,-0.00277392688,-0.01432810018,-0.009339250026,-0.009526716873,-0.0159436504,-0.01092907053,0,0,-0.00370799961,-0.006509037526,22.22611058,23.96358249,27.14597177,33.18744012,9.344276516,28.09854485,18.86595844,17.14794255,43.98390695,83799.60511,22.27755991,24.50266138,27.40068233,33.3462792,9.502795493,28.33170164,18.80348838,17.14794255,44.5047287,84347.55087,11.8064305507248,12.3068632349636,12.2485428809548,12.2437633426518,12.506247605875,13.4261987794992,11.7493010850532,13.3630151611969,13.5089690932303,16.0085696941057,92,0,26,39,51,49,18,10,81,15
"8",2018-01-11,0,-0.00895337466,-0.01057605969,-0.004196648865,0,-0.00336965387,-0.01894207049,-0.01359760825,-0.01402875473,-0.008442080595,22.22611058,23.74998519,26.86038719,33.04845592,9.344276516,28.00402182,18.51196143,16.91634967,43.37117549,83095.13985,22.07176259,23.74998519,26.83723168,32.95910894,9.327590308,27.96621261,18.74101832,17.03718074,43.64690465,83799.63698,11.7342032768746,11.7555892507703,12.7067933865005,12.0998951295518,11.7824257458616,12.9671214357007,11.4066867860621,13.1486430226748,13.2180062291399,15.8314041543909,63,0,22,34,52,41,14,9,81,40
"9",2018-01-12,0.01150760684,0.01614308634,0.01991530972,0.02257298103,0.0159436504,0.02071112891,0.02444566174,0.02643325707,0.01935469068,0.0147860725,22.48335723,24.13649458,27.40068233,33.80294155,9.494452389,28.59006458,18.97007521,17.36946618,44.21878735,84332.919,22.32900924,23.90255469,26.99932023,33.18744012,9.377648932,28.16786173,18.62648987,16.99690371,43.50393397,83095.33111,12.2050721451966,12.0817218392081,12.3870391179452,12.7595697524574,11.9434343435178,13.114091257567,12.1733893170365,13.4426626771402,13.0539496239105,15.9483426183186,65,0,19,26,46,38,17,13,83,28
"10",2018-01-15,-0.01150760684,-0.005069719334,0,0.002346730305,0.002632735176,-0.0008820287143,0.00765449337,0.002894357982,0.005757068271,-0.0002056522224,22.22611058,24.01443899,27.40068233,33.88236109,9.519481701,28.56485844,19.11583869,17.41981245,44.47409212,84315.57753,22.31871937,24.04495288,27.29262331,33.42569874,9.444393764,28.45773235,18.84513509,17.1580118,43.86136066,84332.919,12.787307337503,11.827436889947,12.1391098548911,12.52718828517,12.3778807963072,12.7037795945381,11.5809111627613,13.6430922022,13.4485630312548,15.9978769640101,50,0,28,39,46,34,23,13,77,36
"11",2018-01-16,0.01013366571,0.002960458916,0.007017572635,0.004968591263,0.01219527309,0.006157925744,0.00543184386,0.002886004903,-0.001838658285,0.005069102291,22.45248763,24.08563808,27.59364489,34.05112761,9.636285157,28.74130142,19.21995545,17.47015873,44.3923946,84744.06693,22.22611058,24.15683718,27.43927484,33.88236109,9.527824805,28.665683,19.0637803,17.43995097,44.42303117,84315.57753,11.6295611760347,11.8859018160417,12.3754862520233,12.1613733523262,11.3927896637302,12.7718266985677,10.7212830376612,13.1869575219949,12.7225810914317,15.4455876104653,63,0,38,44,54,38,18,9,84,28
"12",2018-01-17,0.003659656459,0.006734032187,0.006690852966,0.008708327876,0.01290340484,0.009166367118,0.01771858436,0.01714327701,-0.02728395896,0.00099496117,22.53480656,24.24837888,27.77888894,34.34895088,9.761431718,29.0059659,19.56354079,17.77223641,43.19756824,84828.42595,22.45248763,24.10598068,27.60136339,34.21989413,9.619598949,28.67198454,19.20954378,17.47015873,43.89199723,84742.33491,12.2740349862026,11.7619082882827,12.5641491068844,12.3385559891431,12.1005065531874,12.967217202236,11.8736790798108,13.9110807039745,13.7240781498754,15.9415925739327,60,0,33,33,47,37,15,13,85,44
"13",2018-01-18,0.005918523987,0.008354267456,0.02469938952,0.02342295032,0.01526747213,0.01637614706,0.03555000594,0.03943860179,0.01989533149,0.01686032046,22.66857482,24.45180488,28.47355412,35.16300117,9.91160759,29.48488256,20.27153481,18.48715356,44.06560448,86270.78555,22.58625589,24.20769368,27.79432594,34.35887833,9.719716197,28.99336283,19.69889259,18.04410631,43.29969015,84828.28781,12.4832156263432,12.3305046389065,12.569770868405,13.0196150026894,12.0500502150701,13.0717835126758,11.799794707165,13.9320982127709,13.5308319705323,16.2649059992048,61,0,26,45,44,33,18,15,81,36
"14",2018-01-19,-0.00500569873,0.01157994742,-0.001084892999,-0.00679889305,0.005037794031,-0.00235369747,-0.001542020326,-0.007654493331,-0.006743427504,-0.002793803504,22.55538629,24.73660128,28.44268011,34.92474255,9.961666214,29.41556568,20.24029978,18.34618398,43.76945094,86030.0983,22.55538629,24.35009188,28.4118061,35.32184024,9.894921382,29.42816875,20.27153481,18.47708431,44.42303117,86266.38643,12.0987101272017,12.296534728646,12.7573480345477,12.7732341783051,12.4358183545589,12.9727374454485,12.0311953116255,13.7555981199847,13.1077896953148,16.0547265790817,65,0,15,36,41,43,21,16,78,43
"15",2018-01-22,0.003642991275,0.02276521079,0.007030856447,-0.006559270647,0.00334448472,0.008107575867,-0.006709702594,0.002192983334,0.0004665267366,0.003167428904,22.63770522,25.30619407,28.64336117,34.69641137,9.99503863,29.65502401,20.10494799,18.38646101,43.78987532,86303.02453,22.62741535,24.90951337,28.53530214,35.0537993,9.986695526,29.55419945,20.30276985,18.43680729,44.11666544,86032.30848,12.4284278862092,12.8059251138658,12.971473043535,12.6271879807919,11.6677216506994,12.8163000670037,11.3491822569375,13.37939189359,13.1426541208466,15.9459796399722,63,0,32,49,43,32,19,12,81,34
"16",2018-01-23,-0.004555816532,-0.005238778846,0.01364934882,0.003427595489,0.02473333,0.0245578508,0.0103040582,0.01143491905,-0.005378242832,0.005597733681,22.53480656,25.17396717,29.03700477,34.81554068,10.24533175,30.39230361,20.31318152,18.59791538,43.55499493,86787.48054,22.52451669,25.30619407,28.82088671,34.74604858,9.978352422,29.65502401,20.00083122,18.38646101,44.01454353,86303.02453,12.3478108945937,12.3331060971895,12.7655512812035,12.3666597101781,12.3707265443582,13.3135769494574,11.9828353398212,13.3997011314,13.1690961885785,15.8690855513858,63,0,48,33,46,40,19,11,82,23
"17",2018-01-24,0,-0.009744291483,0.003449651793,0.003700018456,-0.01146613714,-0.00353100377,-0.006169685374,-0.009793331832,-0.04263097636,-0.01228283809,22.53480656,24.92985597,29.1373453,34.94459743,10.12852829,30.28517751,20.1882414,18.41666877,41.73722492,85728.00397,22.52451669,25.20448107,28.87491623,34.71626625,10.22030244,30.2473683,20.19865308,18.52743059,42.88099032,86788.19247,12.516607834859,12.5886955113897,13.6743996561523,13.4019205319226,12.1579270235988,13.813753014389,12.0639155871533,13.5555396271875,13.8818823975461,16.2400659964724,67,0,18,37,41,45,19,11,80,23
"18",2018-01-26,-0.0004567253317,0.05400279866,0.05288143661,0.07627688459,0.06149641928,0.04694552943,0.0619888578,0.05582102762,0.02202145856,0.03652973861,22.52451669,26.31315276,30.71963822,37.71435388,10.77094731,31.74083211,21.47928933,19.47394063,42.66653431,88917.5271,22.59654576,25.12311067,29.43064838,35.2424207,10.21195934,30.52463585,20.3235932,18.5475691,42.08443941,85728.49277,13.1044478484176,12.9780402486159,13.6701830062791,13.9019340955435,12.7427297453304,13.5604118354085,13.1660433639718,14.411394903529,13.7940223308426,16.556955818052,64,0,57,81,38,78,29,20,72,93
"19",2018-01-29,-0.0004569339806,0.01838427877,0.03457134406,0.03058818047,0.04097690121,0.05315774543,0.0510266568,0.03005064423,-0.008412500049,0.02187701234,22.51422683,26.80137515,31.80022851,38.88579208,11.22147492,33.47375426,22.60375043,20.06802672,42.30910762,90884.21109,22.54509643,26.50640745,30.95119328,38.12137902,10.89609387,32.26385952,21.8957564,19.75587979,42.73801964,88917.78212,12.7510503895769,13.2228980674744,13.6425252821473,13.8191160503579,13.0957503720396,14.3849748328116,12.859155357075,14.3528848269236,13.645495366275,16.6065505659278,51,0,43,71,41,70,25,18,78,53
"20",2018-01-30,-0.001829826676,0.001516875548,-0.02955880225,-0.005632375363,-0.02636687583,-0.02728916596,0,-0.00402212709,0.01104187886,-0.009784905966,22.47306736,26.84206035,30.87400826,38.66738835,10.92946628,32.57263474,22.60375043,19.98747267,42.77886841,89999.2543,22.4319079,26.72000475,31.56867345,38.62767858,11.16307319,33.17128057,22.3018118,19.80622607,41.97210531,90884.21109,12.1685732500592,12.4127086946556,13.1561365875113,13.2201922009428,12.2402324971769,14.0174043233532,12.520500100247,13.9755260063667,13.5154927117514,16.2706443626052,63,0,33,46,45,32,19,14,85,22
"21",2018-01-31,0.001372683811,-0.007225739768,0.009950330865,-0.003858525693,0.006088298844,-0.003876725173,-0.02471564369,-0.01830249366,-0.0100768607,-0.002548167843,22.50393696,26.64880565,31.18274835,38.51847671,10.99621111,32.44660404,22.05193156,19.62497946,42.34995638,89770.21303,22.35987884,26.61829175,30.72735672,38.19087111,10.90443697,32.38989023,22.41634024,19.90691863,42.58483678,89998.46798,12.5459391152194,12.5383826606843,13.1668681820467,13.0072151176754,12.6479821805756,13.7352870006051,13.0141721925132,13.7736838922642,13.2734659880134,16.139031753276,72,17,50,43,46,42,22,12,81,35
"22",2018-02-01,0.0007555020251,-0.007486476531,0.005730251891,0.01953123297,0.002401220478,0.01194784319,0.002753929681,0.00782131943,-0.003378195505,0.002183928188,22.52094516,26.45004493,31.36194628,39.27818492,11.02264717,32.83659612,22.11274472,19.77907452,42.20713133,89966.47897,22.53120527,26.88614613,31.56974323,39.00102031,11.02264717,32.76747967,22.30999456,19.81923508,42.51261117,89513.84256,12.5640302664869,12.6315560439521,13.5835015745813,13.1974578627938,12.7214200307067,13.565356741627,12.286564483099,13.6795854455342,13.8326036353905,16.3421908293318,90,0,36,53,46,54,20,14,79,39
"23",2018-02-02,0.01586975042,0.007258866621,-0.02686060517,0.002768342014,-0.0030234339,0.005059435181,0.03822708134,0.04078138452,0.008169194874,0.006837031991,22.88119793,26.64274081,30.5307585,39.38707102,10.98937125,33.00315173,22.97441506,20.60236595,42.55334182,90583.69021,22.6753392,26.47032871,31.10027606,39.03071652,11.02264717,32.58204886,22.11274472,19.83931536,42.35987125,89966.65909,13.2225308324335,12.8237956034433,13.838097540637,13.0477023292553,12.5625890769065,13.7651526154724,12.5844953825265,13.9241577665248,13.7908796934674,16.3162287111641,86,0,80,51,46,41,20,16,80,31
"24",2018-02-05,-0.009945832441,-0.01033106565,-0.03153864643,-0.01366418022,-0.01602476108,-0.01264869298,-0.02702248232,-0.02716887286,-0.02397499506,-0.01715188123,22.65475333,26.36890982,29.58288559,38.85253927,10.81467269,32.58833398,22.36190241,20.05015829,41.54525834,89043.25793,22.5621169,26.07479506,30.13727595,38.90203295,10.83131065,32.46891675,22.57991539,20.38148289,42.41078456,90583.52068,12.564173572272,12.1919230099257,13.6111004351058,12.7658769871168,12.2888408663852,13.4054408650078,11.9587132429568,13.8916740589275,13.5665426601404,16.1353918063432,73,0,44,36,44,36,20,17,79,45
"25",2018-02-06,-0.01510671897,-0.04282720875,-0.01626905472,-0.0302622343,-0.03125254343,-0.03573210918,-0.04607796805,-0.04768911808,-0.01109068669,-0.02628503425,22.31508642,25.26344399,29.10549389,37.69438714,10.48191353,31.44444261,21.35489009,19.11642533,41.08703858,86733.24523,22.47977341,26.00380184,29.41348854,38.40709615,10.72316392,32.22379717,22.08160001,19.72887383,41.34160511,89041.60508,12.5778154962333,12.7634860099104,13.0421549893399,12.4226305590575,12.1859617707306,13.6350432809305,12.2091977572777,14.0684730718502,13.7938588421572,16.0674955899132,67,0,64,45,54,59,16,15,83,47
"26",2018-02-07,-0.002771364349,0.003206415567,0.02353049742,0.04292063118,0.03815176589,0.0353463067,0.04885961102,0.04869011918,0.05120654961,0.02453078761,22.25332881,25.34457909,29.79848184,39.34747608,10.8895435,32.57576375,22.42419183,20.07023857,43.24576279,88887.19102,22.15039944,24.90847789,28.61270246,37.26874149,10.4153617,31.41301702,20.85657472,18.73490003,40.74082809,86729.18727,12.9806062459625,13.0921742365411,14.0739085054473,13.193289578804,12.7857151252933,14.9853778242935,12.8680928699377,14.2364211021647,13.9493200369192,16.6401875709982,67,0,59,46,55,70,22,17,81,57
"27",2018-02-08,0,-0.01288781432,-0.01510052124,0.001005783352,-0.02084212844,-0.0240175559,-0.02912371172,-0.02789934951,-0.01805703611,-0.01352840495,22.25332881,25.02003867,29.35188961,39.38707102,10.66493107,31.8026943,21.78053447,19.5180309,42.47188053,87692.78652,22.31508642,25.52713309,29.79848184,39.3276786,10.8895435,32.63861492,22.41381026,20.05015829,43.20503214,88886.94734,12.6044997112866,12.399210494758,13.2218665724029,13.2943197339654,12.6352152169927,13.8121519240626,12.3789918046615,14.0766271212994,13.7323300157665,16.2690960309406,71,0,49,49,53,68,13,16,76,38
"28",2018-02-09,0.001848429354,-0.008548800272,-0.01240612454,-0.03191896145,-0.00940445794,-0.00495295712,-0.03048869111,-0.02026569742,-0.002881154447,-0.01502408734,22.29450055,24.80705901,28.9899959,38.14972901,10.56510332,31.64556636,21.12649555,19.12646547,42.34968859,86385.1302,22.34596523,25.30401154,29.45198787,39.60484322,10.70652597,32.02267341,21.81167919,19.62847243,42.4515152,87699.93826,13.0407888303971,12.5363040198476,13.0960502024117,13.1747186077383,12.7373095348639,13.6013205537506,11.9722093424344,13.855897898036,13.6348516182562,16.247873043634,59,0,58,35,49,50,17,15,77,33
