"","lag_fechamento_ABEV3","lag_abertura_ABEV3","lag_volume_ABEV3","lag_retorno_ABEV3","lag_value_ABEV3","lag_diff","lag_fechamento_B3SA3","lag_abertura_B3SA3","lag_volume_B3SA3","lag_retorno_B3SA3","lag_value_B3SA3","lag_diff.1","lag_fechamento_BBDC4","lag_abertura_BBDC4","lag_volume_BBDC4","lag_retorno_BBDC4","lag_value_BBDC4","lag_diff.2","lag_fechamento_BBAS3","lag_abertura_BBAS3","lag_volume_BBAS3","lag_retorno_BBAS3","lag_value_BBAS3","lag_diff.3","lag_fechamento_ITSA4","lag_abertura_ITSA4","lag_volume_ITSA4","lag_retorno_ITSA4","lag_value_ITSA4","lag_diff.4","lag_fechamento_ITUB4","lag_abertura_ITUB4","lag_volume_ITUB4","lag_retorno_ITUB4","lag_value_ITUB4","lag_diff.5","lag_fechamento_PETR3","lag_abertura_PETR3","lag_volume_PETR3","lag_retorno_PETR3","lag_value_PETR3","lag_diff.6","lag_fechamento_PETR4","lag_abertura_PETR4","lag_volume_PETR4","lag_retorno_PETR4","lag_value_PETR4","lag_diff.7","lag_fechamento_VALE3","lag_abertura_VALE3","lag_volume_VALE3","lag_retorno_VALE3","lag_value_VALE3","lag_diff.8","lag_fechamento_IBOV","lag_abertura_IBOV","lag_volume_IBOV","lag_retorno_IBOV","lag_value_IBOV","lag_diff.9","y","xgb_abev3_pred","knn_b3sa3_pred","knn_bbas3_pred","bag_bbdc4_pred","ada_itsa4_pred","knn_itub4_pred","logit_petr3_pred","svmRad_petr4_pred","svmRad_vale3_pred"
"1",21.89683487,22.02031326,12.3196691521127,-0.01001360624,56,-0.123478390000002,23.1702211,23.0685081,11.8150724148325,0.000450144826,0,0.101713,26.11280125,25.89680171,12.3184365799003,0.01049087828,42,0.215999540000002,31.58912188,31.9663647,12.2462352226826,-0.01096828941,64,-0.377242819999999,9.027238563,9.035581667,12.0370917056733,-0.003465706922,64,-0.00834310400000149,26.822484,26.77838879,13.0846781248279,-0.001803633539,42,0.0440952099999983,17.60614554,17.44997039,11.3561546890203,0.00451971916,53,0.156175149999999,16.21150176,16.21150176,12.6914081387729,-0.001279926296,58,0,41.11428126,40.85897648,12.9599009169004,0.005594756734,88,0.255304779999996,11.3044744778695,11.3002113309666,15.8004282106321,-6.778650826e-05,22,0.00426314690295548,"1","0","1","0","0","0","1","0","0","1"
"2",22.31871937,21.9482842,12.5845501762964,0.01908366035,45,0.37043517,23.30244799,23.28210539,12.3716718261797,0.005690538435,20,0.0203425999999993,26.69137144,26.26708663,12.640128449876,0.0219146827,25,0.42428481,32.69106799,31.85716283,12.6733036846978,0.03428907347,41,0.83390516,9.202443747,9.068954083,11.9125736877568,0.01922255984,51,0.133489664000001,27.65113586,26.97057007,13.1498151069576,0.03042631604,50,0.680565789999999,18.04343597,17.68943896,11.3159977557869,0.02453394085,9,0.353997010000001,16.66461827,16.30212507,13.2777042058665,0.02756682984,9,0.362493199999999,42.60526116,41.2981007,13.3391974658543,0.03562220993,89,1.30716046,11.3237754840228,11.3044812839835,15.8902719146442,0.01930100608,21,0.019294200039333,"1","0","0","1","1","1","0","0","0","0"
"3",22.3701687,22.18495112,12.2903126859115,0.002302556852,60,0.18521758,23.69912869,23.1397072,11.952089659815,0.01687986412,0,0.559421489999998,26.81407618,26.67514314,12.2206360820072,0.004586634094,31,0.138933040000001,33.10802058,32.85983452,12.5716632267955,0.01267367597,57,0.248186060000002,9.3109041,9.160728227,11.8818648917289,0.0117171237,52,0.150175873,27.84018191,27.66373893,13.4519778676282,0.006813562589,34,0.176442979999997,18.27249286,17.94973088,12.1077042942828,0.01261484615,20,0.322761979999999,16.81565711,16.60420274,13.8010728338051,0.009022617582,17,0.211454369999998,42.34995638,42.71759526,13.2413492449239,-0.006010355878,87,-0.367638880000001,11.3251113304303,11.3237545571546,15.9561161053786,0.001335846468,21,0.00135677327568473,"1","0","0","1","1","0","1","0","0","1"
"4",22.24669031,22.3701687,12.2536811594449,-0.005535069477,57,-0.123478389999999,23.85169819,23.77032779,11.8486688646257,0.006417134321,0,0.0813704000000008,27.25403079,26.85266869,12.7881877016673,0.0162744491,35,0.4013621,33.42569874,33.2767871,12.7519632439328,0.009549460798,54,0.148911640000001,9.486109284,9.335933412,11.9550888768611,0.0186423508,50,0.150175872,28.41992314,27.88429266,13.5120161264963,0.02061004852,62,0.535630480000002,18.42866801,18.39743298,11.7643921038887,0.008510689687,14,0.0312350299999977,16.84586488,16.89621115,13.4018403801483,0.00179479562,13,-0.0503462699999986,42.52356363,42.69717088,13.6188981719685,0.004090969483,88,-0.173607250000003,11.3334393824569,11.325143767904,16.0520258246379,0.008328051931,24,0.00829561455285521,"1","0","1","1","1","0","0","0","0","1"
"5",22.32900924,22.24669031,12.487496425659,0.003693448332,54,0.0823189299999996,24.19752238,23.80084169,12.1205419899132,0.0143948294,0,0.39668069,27.40840084,27.18456428,12.418717275543,0.00564813704,45,0.223836559999999,33.42569874,33.45548106,12.1450054257817,0,53,-0.0297823199999954,9.502795493,9.486109284,11.6844725180405,0.0017574697,57,0.0166862090000013,28.50184309,28.43252621,13.1263733268,0.002878336987,52,0.0693168800000024,18.57443149,18.41825634,11.3834316247358,0.007878487582,16,0.156175149999999,16.94655743,16.81565711,13.0821641056187,0.005959493172,12,0.130900319999999,43.18735605,42.45207829,13.4282084984834,0.01548940774,88,0.735277759999995,11.3388166839784,11.3333993294629,15.8849598429121,0.005377301629,24,0.00541735451545833,"1","0","1","1","0","0","0","0","0","1"
"6",22.28784978,22.32900924,11.9968443267251,-0.001845018972,61,-0.0411594600000029,24.30940668,24.15683718,12.0768690174656,0.004613134642,0,0.152569499999998,27.40068233,27.37752683,12.4028147249854,-0.0002816504712,37,0.0231554999999979,33.50511828,33.39591641,12.1191249028795,0.002373184157,38,0.10920187,9.494452389,9.452736868,11.7006822242541,-0.0008783487575,60,0.0417155209999986,28.40732007,28.394717,12.9134431927264,-0.00332189432,41,0.0126030700000008,18.86595844,18.36619795,11.4187905942196,0.01557317343,13,0.49976049,17.14794255,16.85593413,13.1434494944006,0.01181348647,10,0.292008419999998,44.14730201,43.29969015,13.4057391912192,0.0219840472,86,0.847611859999994,11.3426926116347,11.3388015078139,15.8007272681362,0.003875927609,22,0.00389110382075764,"0","0","1","0","0","0","1","0","0","1"
"7",22.22611058,22.27755991,11.8064305507248,-0.00277392688,92,-0.0514493300000005,23.96358249,24.50266138,12.3068632349636,-0.01432810018,0,-0.539078889999999,27.14597177,27.40068233,12.2485428809548,-0.009339250026,26,-0.254710559999999,33.18744012,33.3462792,12.2437633426518,-0.009526716873,39,-0.15883908,9.344276516,9.502795493,12.506247605875,-0.0159436504,51,-0.158518977,28.09854485,28.33170164,13.4261987794992,-0.01092907053,49,-0.233156789999999,18.86595844,18.80348838,11.7493010850532,0,18,0.062470059999999,17.14794255,17.14794255,13.3630151611969,0,10,0,43.98390695,44.5047287,13.5089690932303,-0.00370799961,81,-0.520821750000003,11.3361835741679,11.3427010522236,16.0085696941057,-0.006509037526,15,-0.00651747805569158,"0","0","0","0","0","0","1","0","0","1"
"8",22.22611058,22.07176259,11.7342032768746,0,63,0.154347990000002,23.74998519,23.74998519,11.7555892507703,-0.00895337466,0,0,26.86038719,26.83723168,12.7067933865005,-0.01057605969,22,0.0231555100000023,33.04845592,32.95910894,12.0998951295518,-0.004196648865,34,0.089346980000002,9.344276516,9.327590308,11.7824257458616,0,52,0.0166862080000012,28.00402182,27.96621261,12.9671214357007,-0.00336965387,41,0.0378092099999989,18.51196143,18.74101832,11.4066867860621,-0.01894207049,14,-0.229056889999999,16.91634967,17.03718074,13.1486430226748,-0.01359760825,9,-0.120831070000001,43.37117549,43.64690465,13.2180062291399,-0.01402875473,81,-0.275729160000004,11.3277414935736,11.3361839544799,15.8314041543909,-0.008442080595,40,-0.00844246090625766,"1","0","1","0","1","0","1","0","0","1"
"9",22.48335723,22.32900924,12.2050721451966,0.01150760684,65,0.154347989999998,24.13649458,23.90255469,12.0817218392081,0.01614308634,0,0.233939890000002,27.40068233,26.99932023,12.3870391179452,0.01991530972,19,0.4013621,33.80294155,33.18744012,12.7595697524574,0.02257298103,26,0.615501430000002,9.494452389,9.377648932,11.9434343435178,0.0159436504,46,0.116803457,28.59006458,28.16786173,13.114091257567,0.02071112891,38,0.422202850000001,18.97007521,18.62648987,12.1733893170365,0.02444566174,17,0.343585340000001,17.36946618,16.99690371,13.4426626771402,0.02643325707,13,0.372562469999998,44.21878735,43.50393397,13.0539496239105,0.01935469068,83,0.714853380000001,11.342527565986,11.32774379527,15.9483426183186,0.0147860725,28,0.0147837707160274,"0","0","1","0","1","0","1","0","0","0"
"10",22.22611058,22.31871937,12.787307337503,-0.01150760684,50,-0.0926087899999999,24.01443899,24.04495288,11.827436889947,-0.005069719334,0,-0.0305138900000017,27.40068233,27.29262331,12.1391098548911,0,28,0.108059019999999,33.88236109,33.42569874,12.52718828517,0.002346730305,39,0.456662350000002,9.519481701,9.444393764,12.3778807963072,0.002632735176,46,0.0750879369999993,28.56485844,28.45773235,12.7037795945381,-0.0008820287143,34,0.107126089999998,19.11583869,18.84513509,11.5809111627613,0.00765449337,23,0.270703600000001,17.41981245,17.1580118,13.6430922022,0.002894357982,13,0.261800649999998,44.47409212,43.86136066,13.4485630312548,0.005757068271,77,0.612731459999999,11.3423219137517,11.342527565986,15.9978769640101,-0.0002056522224,36,-0.000205652234296139,"1","0","1","0","0","0","1","0","0","1"
