"","date","sentido_ABEV3","lag_fechamento_ABEV3","lag_abertura_ABEV3","lag_volume_ABEV3","lag_retorno_ABEV3","lag_value_ABEV3","lag_diff"
"1",2018-01-02,"1",21.89683487,22.02031326,12.3196691521127,-0.01001360624,56,-0.123478390000002
"2",2018-01-03,"1",22.31871937,21.9482842,12.5845501762964,0.01908366035,45,0.37043517
"3",2018-01-04,"-1",22.3701687,22.18495112,12.2903126859115,0.002302556852,60,0.18521758
"4",2018-01-05,"1",22.24669031,22.3701687,12.2536811594449,-0.005535069477,57,-0.123478389999999
"5",2018-01-08,"-1",22.32900924,22.24669031,12.487496425659,0.003693448332,54,0.0823189299999996
"6",2018-01-09,"-1",22.28784978,22.32900924,11.9968443267251,-0.001845018972,61,-0.0411594600000029
"7",2018-01-10,"0",22.22611058,22.27755991,11.8064305507248,-0.00277392688,92,-0.0514493300000005
"8",2018-01-11,"1",22.22611058,22.07176259,11.7342032768746,0,63,0.154347990000002
"9",2018-01-12,"-1",22.48335723,22.32900924,12.2050721451966,0.01150760684,65,0.154347989999998
"10",2018-01-15,"1",22.22611058,22.31871937,12.787307337503,-0.01150760684,50,-0.0926087899999999
"11",2018-01-16,"1",22.45248763,22.22611058,11.6295611760347,0.01013366571,63,0.22637705
"12",2018-01-17,"1",22.53480656,22.45248763,12.2740349862026,0.003659656459,60,0.0823189299999996
"13",2018-01-18,"-1",22.66857482,22.58625589,12.4832156263432,0.005918523987,61,0.0823189299999996
"14",2018-01-19,"1",22.55538629,22.55538629,12.0987101272017,-0.00500569873,65,0
"15",2018-01-22,"-1",22.63770522,22.62741535,12.4284278862092,0.003642991275,63,0.0102898700000011
"16",2018-01-23,"0",22.53480656,22.52451669,12.3478108945937,-0.004555816532,63,0.0102898700000011
"17",2018-01-24,"-1",22.53480656,22.52451669,12.516607834859,0,67,0.0102898700000011
"18",2018-01-26,"-1",22.52451669,22.59654576,13.1044478484176,-0.0004567253317,64,-0.0720290700000028
"19",2018-01-29,"-1",22.51422683,22.54509643,12.7510503895769,-0.0004569339806,51,-0.0308696000000026
"20",2018-01-30,"1",22.47306736,22.4319079,12.1685732500592,-0.001829826676,63,0.0411594600000029
"21",2018-01-31,"1",22.50393696,22.35987884,12.5459391152194,0.001372683811,72,0.14405812
"22",2018-02-01,"1",22.52094516,22.53120527,12.5640302664869,0.0007555020251,90,-0.0102601100000008
"23",2018-02-02,"-1",22.88119793,22.6753392,13.2225308324335,0.01586975042,86,0.205858729999999
"24",2018-02-05,"-1",22.65475333,22.5621169,12.564173572272,-0.009945832441,73,0.0926364299999989
"25",2018-02-06,"-1",22.31508642,22.47977341,12.5778154962333,-0.01510671897,67,-0.16468699
"26",2018-02-07,"0",22.25332881,22.15039944,12.9806062459625,-0.002771364349,67,0.102929369999998
"27",2018-02-08,"1",22.25332881,22.31508642,12.6044997112866,0,71,-0.0617576100000008
"28",2018-02-09,"-1",22.29450055,22.34596523,13.0407888303971,0.001848429354,59,-0.0514646800000023
"29",2018-02-14,"1",22.11952063,22.21215706,12.8771710280401,-0.007879530908,43,-0.0926364299999989
"30",2018-02-15,"1",22.89149087,22.34596523,12.9480433230373,0.0343047587,52,0.545525639999997
"31",2018-02-16,"1",22.95324849,22.89149087,12.4048292375373,0.002694209116,59,0.0617576200000016
"32",2018-02-19,"-1",23.08705667,22.92236968,12.6449693059928,0.005812670064,55,0.16468699
"33",2018-02-20,"1",22.99442024,23.12822841,10.9871723112865,-0.004020554896,58,-0.133808169999998
