Ano,ativo,ret_medio,ret_mediano,ret_sd,ret_min,ret_max,volume_medio,volume_mediano,volume_sd,volume_min,volume_max,value_medio,value_mediano,value_sd,value_min,value_max
2012,ABEV3,0.001742334478730328,7.777135683e-4,0.015962926926250644,-0.04610165809,0.1069910394,9.951764333021258,9.814709972967929,0.7995361066180314,8.426173793029069,14.24035140487907,61.56147540983606,61,12.194594678708828,35,100
2013,ABEV3,-3.2332230760080615e-5,-6.0865540875e-4,0.014015633620225268,-0.04534188487,0.05628643697,10.46576963650983,10.227863421817212,0.839054185594915,8.81195017753998,13.669698349586389,66.2258064516129,66,12.165750497892116,35,100
2014,ABEV3,-2.957478600693549e-4,0,0.01565635293783254,-0.0580936401,0.04619612902,12.329210099472435,12.320611203654536,0.41698580273877756,11.009753808057733,13.749393191105485,65.71370967741936,65,11.240231636190137,37,100
2015,ABEV3,1.0794038863902488e-4,0,0.013061982018989535,-0.05665323572,0.03786109363,12.423055444119138,12.387467933099503,0.36466213538764947,10.97983719053025,13.678065230164274,56.17886178861789,56,11.998661503803683,33,100
2016,ABEV3,-4.413711659136544e-4,0,0.013552031566459167,-0.03866245572,0.05656441323,12.44248277445066,12.426211687824084,0.42377159221957195,10.750363895525926,13.595814806152617,66.6144578313253,66,10.660257053694137,40,100
2017,ABEV3,0.0010537844323569108,9.49570711e-4,0.01075347888497089,-0.04371143309,0.03635001602,12.379293172259157,12.371378878498184,0.4815426766232682,10.875099455998244,13.768300494777513,57.39430894308943,57,17.777163984067016,27,100
2018,ABEV3,-0.001344225647810612,-0.001569448404,0.013723881445735112,-0.05763977948,0.05105517082,12.608529229460158,12.577815496233306,0.437857611663771,10.987172311286548,14.195047757484703,60.85306122448979,59,12.921057632585534,31,100
2012,B3SA3,0.001351656244516802,8.039532421e-4,0.021228354249632736,-0.05542980497,0.05323145022,12.166315760093772,12.150142122330148,0.3733021773125329,10.952927103863022,13.295627371375783,0,0,0,0,0
2013,B3SA3,-9.960396088447578e-4,0,0.019192961560735074,-0.07199628676,0.0538697099,12.13376411219713,12.060769190519142,0.44823741094922454,11.145983711532816,13.692864843626165,0,0,0,0,0
2014,B3SA3,-5.73093747775807e-4,-9.7889820215e-4,0.02504907046075749,-0.08592043949,0.07852242539,12.067444874921556,12.055667965092663,0.5838737483518046,9.580868910203451,13.773173875216106,0,0,0,0,0
2015,B3SA3,2.707970983170728e-4,-0.00100664787085,0.021730600146326755,-0.08234173686,0.0840831172,11.906010415648156,11.868693144924158,0.4710634283110316,10.644066832655934,13.38886522410676,0,0,0,0,0
2016,B3SA3,0.0015479619505594378,0.001683974583,0.022847453825658375,-0.05507113668,0.0963918457,12.072539267288699,12.067390869565173,0.5443637570351811,10.216142686053809,14.044973301063031,0,0,0,0,0
2017,B3SA3,0.001277359998964634,7.1327022195e-4,0.01604107774750091,-0.08816503554,0.05466415987,12.14603016135629,12.110593129109947,0.5128100599340586,10.626193535337618,13.987446705939034,0,0,0,0,0
2018,B3SA3,6.382203344808163e-4,0,0.021338064528472128,-0.06812582908,0.06135992417,12.364177136215716,12.333106097189466,0.45866746398494185,10.987189228468484,13.766553479865488,34.03265306122449,34,24.282974773162742,0,100
2012,BBDC4,3.612799159192623e-4,3.270492697e-4,0.015199545558438379,-0.06871034567,0.06822856224,12.556196279128194,12.540313796984528,0.3530363820935233,11.20991314918682,14.04463140957288,16.135245901639344,0,22.47436004895502,0,100
2013,BBDC4,-4.940986475967738e-4,-0.0010180710866499998,0.01620748241311722,-0.05203735127,0.05723957916,12.678381061847398,12.685352739625754,0.324942383172534,11.587689650340382,13.596848201083583,32.51209677419355,31.5,27.907885185100767,0,100
2014,BBDC4,6.639234844084681e-4,-0.0010058275981,0.02335082322908414,-0.07292647151,0.07528726391,12.74443572536574,12.730561496834472,0.44400871641118456,10.260602399703245,14.007728813810202,33.528225806451616,33,20.3129166958796,0,100
2015,BBDC4,-0.0018341944354211383,-0.0021192376860000002,0.021601095756936087,-0.05615359794,0.05150755714,12.681389761003452,12.70381602489287,0.3353386648201739,11.285937031560982,13.60898073126709,36.39837398373984,31,20.31677293891434,0,100
2016,BBDC4,0.001972617988811245,0.002858895122,0.024631777966039218,-0.09339678388,0.1224618277,12.659939944495793,12.670868990373169,0.4367282372514648,10.991005189198624,14.092759645604202,45.7710843373494,43,17.458470516373545,0,100
2017,BBDC4,0.001055138642315041,7.2465456305e-4,0.0172951492861421,-0.1405579306,0.04407304646,12.635685181756658,12.639459170175858,0.40749360009262064,11.34308568567833,14.23796846714871,38.357723577235774,35.5,16.09696641786807,7,100
2018,BBDC4,9.172367117620412e-4,0.001188707402,0.020556055214132497,-0.05106773113,0.06558703517,12.974642102121848,12.934036625465481,0.4188081706150459,11.884544192294562,14.199225503560083,46.4,45,14.542588670725086,15,100
2012,BBAS3,2.8232195085040984e-4,0,0.02101962706837632,-0.06091626619,0.06745322529,12.280435200817681,12.307859349972839,0.42046755858853724,10.732955980454312,13.56444581279566,35.91803278688525,32,24.3956044627265,0,100
2013,BBAS3,-2.6764786356854503e-5,8.6695900875e-4,0.017079156185908786,-0.05808833749,0.04178992972,12.358234414233317,12.352818836810208,0.38775537390379067,10.889807951572134,13.558975669620338,45.73790322580645,41,20.484808601497587,0,100
2014,BBAS3,-8.412503614999992e-5,0,0.03099831287045536,-0.09549234575,0.1126006783,12.372571077611653,12.349732465905221,0.5801583623959142,10.08759917287658,13.764762378132678,34.67741935483871,33,17.082817271893035,0,100
